datetime,content
[datetime]: 2025-04-26 13:15:25,[content]: 【中国代表：希望叙利亚尽快恢复稳定走上和平发展之路】中国常驻联合国代表傅聪25日在安理会叙利亚问题公开会上指出，当前叙利亚局势发展正处于关键阶段。中方高度关注叙局势发展，真诚希望叙利亚在国际社会的帮助下，尽快恢复稳定，走上和平发展之路。（新华社）
[datetime]: 2025-04-26 13:11:23,[content]: 信函显示，叙利亚不会对包括以色列在内的任何一方构成威胁。
[datetime]: 2025-04-26 13:11:03,[content]: 【俄总统助理：普京与美特使“拉近了立场”】据塔斯社4月25日报道，俄罗斯总统普京结束了与美国总统特使史蒂文·威特科夫的会谈。会谈在克里姆林宫举行，持续了3个小时。报道称，俄罗斯总统助理乌沙科夫告诉记者：“会谈进行了3个小时，这是一次有建设性和非常有益的会谈。”乌沙科夫告诉记者：“关于乌克兰危机，他们特别谈到了俄乌两国代表恢复直接谈判的可能性。”他还说，俄美就乌克兰问题和其他一系列问题“拉近了立场”。报道称，乌沙科夫说：“这次会谈不仅在乌克兰问题上，也在其他一些国际问题上进一步拉近了俄罗斯和美国的立场。”这是普京和威特科夫在过去两周内的第二次会晤，也是自今年年初以来的第四次会晤。上次会晤于4月11日在圣彼得堡举行，持续了4个多小时。俄总统发言人佩斯科夫解释说，问题涉及很多方面，“内容相当复杂，所以会谈一般会持续比较久”。（参考消息）
[datetime]: 2025-04-26 13:10:06,[content]: 【印方称与巴基斯坦军队在克什米尔地区小规模交火】印度军方26日发表声明称，25日夜间开始，巴基斯坦军队在克什米尔控制线沿线多个哨所发动小规模射击，印度军队使用小型武器予以回击，暂无人员伤亡报告。巴基斯坦方面对此暂无回应。（央视新闻）
[datetime]: 2025-04-26 13:10:06,[content]: 【印方称与巴基斯坦军队在克什米尔地区小规模交火】印度军方26日发表声明称，25日夜间开始，巴基斯坦军队在克什米尔控制线沿线多个哨所发动小规模射击，印度军队使用小型武器予以回击，暂无人员伤亡报告。巴基斯坦方面对此暂无回应。（央视新闻）
[datetime]: 2025-04-26 13:06:30,[content]: 【各有侧重 美俄均积极评价普京会见美特使】当地时间25日，俄罗斯总统普京在克里姆林宫就乌克兰问题与美国中东问题特使威特科夫举行会谈。这是普京今年以来第四次与威特科夫举行会谈。特约评论员苏晓晖：从细节来看，美国中东问题特使今年以来已经第四次访俄，说明了双方的沟通意愿。而三个小时的会谈的时长意味着触及了广泛的问题，谈判是比较深入的。从结果来看，美俄均积极评价这一次的会谈，但是显然各有侧重。美国总统强调与俄罗斯的沟通确实取得了进展，说这次会谈是美好的一天，谈到了大部分的关键条款，而且提出关税和贸易问题可能一并解决，并再次建议与俄罗斯进行高层会晤。我们看到俄罗斯总统外交顾问也认为这次会谈是具有建设性的，非常有意义。俄罗斯方面提及这一次会谈讨论了俄乌直接会谈的可能性，同时认为美俄之间不仅仅要解决乌克兰危机，还要全面解决双边一系列的问题。（央视新闻）
[datetime]: 2025-04-26 13:06:30,[content]: 【各有侧重 美俄均积极评价普京会见美特使】当地时间25日，俄罗斯总统普京在克里姆林宫就乌克兰问题与美国中东问题特使威特科夫举行会谈。这是普京今年以来第四次与威特科夫举行会谈。特约评论员苏晓晖：从细节来看，美国中东问题特使今年以来已经第四次访俄，说明了双方的沟通意愿。而三个小时的会谈的时长意味着触及了广泛的问题，谈判是比较深入的。从结果来看，美俄均积极评价这一次的会谈，但是显然各有侧重。美国总统强调与俄罗斯的沟通确实取得了进展，说这次会谈是美好的一天，谈到了大部分的关键条款，而且提出关税和贸易问题可能一并解决，并再次建议与俄罗斯进行高层会晤。我们看到俄罗斯总统外交顾问也认为这次会谈是具有建设性的，非常有意义。俄罗斯方面提及这一次会谈讨论了俄乌直接会谈的可能性，同时认为美俄之间不仅仅要解决乌克兰危机，还要全面解决双边一系列的问题。（央视新闻）
[datetime]: 2025-04-26 13:04:15,[content]: 【俄军无人机班组自8月以来已在库皮扬斯克附近摧毁80架无人机】一名呼号为“Kontora”的俄军小组指挥官透露，自 8 月以来，俄罗斯武装部队“西部”集群第1近卫坦克军部队已在前线库平扬斯克地段摧毁了80架乌克兰武装部队的“巴巴亚加”型六旋翼无人机。
[datetime]: 2025-04-26 13:03:57,[content]: 【俄外长：俄不会在俄美就乌克兰问题谈判结束前透露谈判进程】俄罗斯外交部长拉夫罗夫表示，在就解决乌克兰问题的俄美谈判正式结束之前，俄罗斯不会对外透露谈判进程。拉夫罗夫在接受美国记者玛格丽特·布伦南采访时，回答有关协议细节的问题说：“我们确实是很有礼貌的人。与某些人不同，我们从不公开讨论谈判涉及的内容，否则谈判就是不认真的。”拉夫罗夫还建议同泽连斯基讨论这个问题，因为泽连斯基恰恰相反，“很乐意通过媒体与任何人交流，甚至是特朗普总统”。
[datetime]: 2025-04-26 13:03:05,[content]: 【胜宏科技：本轮美国加征关税对公司收入利润的直接影响极小】 胜宏科技4月26日在互动平台表示，2025年第一季度，公司由中国大陆直接出口美国的PCB产品占比不到1%。根据和客户签订的贸易条款，产品的进口关税由客户承担，本轮美国加征关税对公司收入利润的直接影响极小。目前公司大客户在手订单充足，各项业务稳步推进。
[datetime]: 2025-04-26 13:03:05,[content]: 【胜宏科技：本轮美国加征关税对公司收入利润的直接影响极小】 胜宏科技4月26日在互动平台表示，2025年第一季度，公司由中国大陆直接出口美国的PCB产品占比不到1%。根据和客户签订的贸易条款，产品的进口关税由客户承担，本轮美国加征关税对公司收入利润的直接影响极小。目前公司大客户在手订单充足，各项业务稳步推进。
[datetime]: 2025-04-26 13:02:15,[content]: 信函显示，叙利亚已在大部分美国制裁解除条件上采取行动，并寻求对未解决问题达成“互相理解”。关于军队中外籍战斗人员的问题“需要进行更广泛的协商”，但军事军衔的授予已被暂停。
[datetime]: 2025-04-26 13:01:26,[content]: 信函显示，叙利亚已成立委员会，以监测叙利亚境内的巴勒斯坦派别活动，并将就此事进行进一步讨论。
[datetime]: 2025-04-26 13:00:37,[content]: 印度钢铁部部长：政府对新建铁矿石矿山发展缓慢极为担忧。
[datetime]: 2025-04-26 13:00:37,[content]: 印度钢铁部部长：政府对新建铁矿石矿山发展缓慢极为担忧。
[datetime]: 2025-04-26 13:00:25,[content]: 印度钢铁部部长：不得不增加焦煤进口。鼓励企业收购海外的铁矿石、焦煤资产。
[datetime]: 2025-04-26 13:00:20,[content]: 印度钢铁部部长：钢铁行业正试图使炼焦煤进口多元化。
[datetime]: 2025-04-26 13:00:12,[content]: 印度钢铁部部长：探索从蒙古获取炼焦煤供应，从蒙古进口炼焦煤存在物流问题。
[datetime]: 2025-04-26 12:57:23,[content]: 中国地震台网正式测定：04月26日12时39分在四川甘孜州白玉县（北纬30.85度，东经98.91度）发生3.0级地震，震源深度10千米。
[datetime]: 2025-04-26 12:56:47,[content]: 【凯利泰提示其他风险事项，称正积极配合审计推进整改】         上海凯利泰医疗科技股份有限公司（300326.SZ）4月25日晚公告称，在与年报审计机构沟通过程中，因部分内部控制相关事项仍在核实中，公司股票交易可能被实施“其他风险警示”。公司表示，正积极配合审计机构推进后续核查工作，持续提供补充材料、落实整改要求，努力提升内部控制水平。公司将依法依规履行信息披露义务，相关事项进展请投资者关注后续公告。
[datetime]: 2025-04-26 12:53:00,[content]: 【美国国家科学基金会主任突然辞职】自美国特朗普政府的预算大刀挥向科研界以来，掀起了科研机构高管离职潮。最新宣布退出的是美国国家科学基金会（NSF）主任。据《科学》杂志报道，NSF主任塞图拉曼·潘查纳坦（Sethuraman Panchanathan）已于当地时间4月24日宣布辞职。潘查纳坦没有说明突然离职的原因，但白宫要求他明年将该机构90亿美元的预算削减55%，并解雇一半员工。（第一财经）
[datetime]: 2025-04-26 12:52:55,[content]: 【全球化智库代表团访美 开展交流对话】全球化智库代表团近日访问美国，同美国学术界、工商界、媒体界及国际组织等代表举行近20场座谈活动，开展交流对话，就中美关系和全球治理等交换意见。 代表团于4月19日至25日先后前往普林斯顿、纽约、华盛顿、波士顿等地。在华盛顿举行的一场研讨会上，全球化智库理事长王辉耀表示，希望继续加强中美智库学者交流，增进相互理解与信任。 在美期间，代表团访问美国外交政策全国委员会、美中关系全国委员会、美国对外关系委员会、昆西治国方略研究所、美国战略与国际问题研究中心等美国智库，并同美中贸易全国委员会、亚洲协会、华美协进社等民间机构以及亚洲集团等商业机构展开交流。 代表团还走进纽约联合国总部，在“单边主义和霸凌行径对国际关系的冲击”安理会阿里亚模式会议上作开场发言。（新华社）
[datetime]: 2025-04-26 12:52:55,[content]: 【全球化智库代表团访美 开展交流对话】全球化智库代表团近日访问美国，同美国学术界、工商界、媒体界及国际组织等代表举行近20场座谈活动，开展交流对话，就中美关系和全球治理等交换意见。 代表团于4月19日至25日先后前往普林斯顿、纽约、华盛顿、波士顿等地。在华盛顿举行的一场研讨会上，全球化智库理事长王辉耀表示，希望继续加强中美智库学者交流，增进相互理解与信任。 在美期间，代表团访问美国外交政策全国委员会、美中关系全国委员会、美国对外关系委员会、昆西治国方略研究所、美国战略与国际问题研究中心等美国智库，并同美中贸易全国委员会、亚洲协会、华美协进社等民间机构以及亚洲集团等商业机构展开交流。 代表团还走进纽约联合国总部，在“单边主义和霸凌行径对国际关系的冲击”安理会阿里亚模式会议上作开场发言。（新华社）
[datetime]: 2025-04-26 12:45:06,[content]: 【追着花期去旅行：“赏花经济”绽放文旅消费新活力】 进入四月，次第绽放的各色花卉将沈阳装点成“花漾之城”。这个春天，“追着花期去旅行”成为沈阳文旅新潮流。结合花期，沈阳故宫推出的“金玉满堂打卡相框冰箱贴”“沈阳故宫迎春赏戏冰箱贴”等春季主题文创产品，灵感源自九间殿前的玉兰，融合大政殿、戏台等沈阳故宫古建筑元素，融入春季迁徙归来的雨燕，将沈阳故宫的春景转化为可触摸、可互动的文化符号，让文创产品花意更浓。日前，携程发布的《“五一”旅游出行预测报告》显示，沈阳“五一”旅游市场火爆，机票订单量同比增长32%。在即将迎来的“五一”假期，沈阳组织策划4大主题200多项文体旅活动，除了赏花本身，也不断为餐饮住宿、户外运动、休闲露营、文创设计等多个领域带来活力。（新华社）
[datetime]: 2025-04-26 12:39:11,[content]: 【保时捷中国研发中心落户上海虹桥商务区，计划下半年投入运营】 从虹桥国际中央商务区管委会获悉，日前，保时捷于2025上海国际车展正式宣布，其位于虹桥国际中央商务区嘉定片区的中国研发中心已完成战略性架构升级，全新投建的上海办公新址计划于今年下半年正式投入运营。这一关键举措，不仅标志着保时捷在华研发体系的历史性升级，更有力提升其本土研发独立性，持续深化“在中国，为中国”的本土化创新战略。（澎湃新闻）
[datetime]: 2025-04-26 12:36:06,[content]: 【也门拉斯伊萨港再次遭美军空袭】据也门胡塞武装控制的马西拉电视台26日报道，美军对也门荷台达省拉斯伊萨港发动空袭。美军本月17日曾对拉斯伊萨港发动空袭，造成大量人员伤亡。该港口位于也门西部荷台达省的港口城市荷台达西北，被认为用于向也门北部胡塞武装控制的省份进口燃料。
[datetime]: 2025-04-26 12:36:06,[content]: 【也门拉斯伊萨港再次遭美军空袭】据也门胡塞武装控制的马西拉电视台26日报道，美军对也门荷台达省拉斯伊萨港发动空袭。美军本月17日曾对拉斯伊萨港发动空袭，造成大量人员伤亡。该港口位于也门西部荷台达省的港口城市荷台达西北，被认为用于向也门北部胡塞武装控制的省份进口燃料。
[datetime]: 2025-04-26 12:32:09,[content]: 中国地震台网正式测定：04月26日12时21分在四川甘孜州白玉县（北纬30.87度，东经98.95度）发生4.9级地震，震源深度10千米。
[datetime]: 2025-04-26 12:26:40,[content]: 【美伊涉核问题分歧严重 第三轮间接谈判能否取得实质进展？】宁夏大学中国阿拉伯国家研究院教授牛新春：最初，美国的谈判代表说，美国的底线就是只要伊朗不发展出核武器就可以，其他的问题都可以谈。但是过了几天，美国的谈判代表又说，美国的底线是伊朗不能拥有任何核活动，伊朗的核设施必须全部被摧毁，所以这个变化是很大的。那么到底现在美国的底线是什么，美国能做出什么样的妥协，现在并不知道，美国政府内部是否就这个问题已经形成了一个意见也不清楚。对伊朗方面来说，也是这样。伊朗也没有公开说什么是可以接受的，什么是不可以接受的。伊朗有人说伊朗必须保留核活动的权利，伊朗的浓缩铀也不能运到国外去。如果这样，双方之间的差距就很大，但是谈判到最后，双方肯定都会做出一定的妥协。双方到底能接受什么样的妥协并不知道，但是如果说这一轮谈判能取得实质性进展，双方就能谈成，这样的可能性很小。（央视新闻）
[datetime]: 2025-04-26 12:26:40,[content]: 【美伊涉核问题分歧严重 第三轮间接谈判能否取得实质进展？】宁夏大学中国阿拉伯国家研究院教授牛新春：最初，美国的谈判代表说，美国的底线就是只要伊朗不发展出核武器就可以，其他的问题都可以谈。但是过了几天，美国的谈判代表又说，美国的底线是伊朗不能拥有任何核活动，伊朗的核设施必须全部被摧毁，所以这个变化是很大的。那么到底现在美国的底线是什么，美国能做出什么样的妥协，现在并不知道，美国政府内部是否就这个问题已经形成了一个意见也不清楚。对伊朗方面来说，也是这样。伊朗也没有公开说什么是可以接受的，什么是不可以接受的。伊朗有人说伊朗必须保留核活动的权利，伊朗的浓缩铀也不能运到国外去。如果这样，双方之间的差距就很大，但是谈判到最后，双方肯定都会做出一定的妥协。双方到底能接受什么样的妥协并不知道，但是如果说这一轮谈判能取得实质性进展，双方就能谈成，这样的可能性很小。（央视新闻）
[datetime]: 2025-04-26 12:26:40,[content]: 【俄军高级将领死于街头汽车爆炸，特朗普：这是件大事，我会关注的】 综合塔斯社、路透社报道，针对俄罗斯武装部队总参谋部作战总局的副局长雅罗斯拉夫·莫斯卡利克中将25日死于街头汽车爆炸事件，克里姆林宫当天发声，称乌克兰应为此事负责。目前暂未看到乌克兰官方对此作出回应。报道同时提到，美国总统特朗普也对此次爆炸事件作出回应。他在从华盛顿飞往罗马的飞机上对记者说，莫斯卡利克被杀“是一件大事，我会关注的。”（环球网）
[datetime]: 2025-04-26 12:25:58,[content]: 中国地震台网自动测定：04月26日12时21分在四川甘孜州白玉县附近（北纬30.87度，东经99.03度）发生4.6级左右地震，最终结果以正式速报为准。
[datetime]: 2025-04-26 12:16:29,[content]: 市场消息：越南科技及商业股份银行（TECHCOMBANK）计划于今年晚些时候推动旗下证券子公司TCBS上市。
[datetime]: 2025-04-26 12:13:38,[content]: 【炮制假非遗、AI生成假神医 涉事企业被立案调查】4月25日，总台中国之声独家报道了电商平台热销的养生贴“苗古金贴”涉嫌虚假宣传。该产品号称由传承“千年秘方”的非遗传承人制作，该传承人实为AI生成，产品页面展示的“非遗传承人”证书为机构非法制作。针对有关违法线索，厦门市市场监管局快速反应，集美区市场监管局第一时间组织精干力量前往涉事企业现场，连夜开展核查处置。经初步核查，报道中涉及的是厦门追尖科技有限公司、厦门乐土网络科技有限公司、苗古金贴（厦门）大药房有限公司等企业。目前查到以上企业在淘宝、京东、拼多多、抖音等平台共计开设9家网店，主要销售“苗古金贴颈椎贴”等医疗器械产品。执法人员现场检查涉事网店，发现店铺在售商品详情页面有宣传“非遗传承人”“千年苗方”“专供颈椎问题”等字样，部分店铺销量显示“已拼500万+件”“已售60万+”等数据。执法人员已当场对相关证据进行提取固定，责令当事人将上述产品链接全部下架处置。集美区局依法依规对当事人涉嫌虚假宣传、刷单等违法行为立案调查，对制作假证等违法线索移送相关部门。
[datetime]: 2025-04-26 12:12:14,[content]: 【俄军高级将领死于街头汽车爆炸，克宫指认基辅应为此负责，乌方暂未回应】 综合塔斯社、路透社报道，针对俄罗斯武装部队总参谋部作战总局的副局长雅罗斯拉夫·莫斯卡利克中将25日死于街头汽车爆炸事件，克里姆林宫当天发声，称乌克兰应为此事负责。目前暂未看到乌克兰官方对此作出回应。（环球网）
[datetime]: 2025-04-26 12:11:18,[content]: 【星巴克工会拒绝公司每年至少加薪2%的提议：福利不明确】工会组织Workers United表示，参与合同谈判的星巴克工会代表投票否决了这家咖啡连锁店的最新提议，该提议保证每年至少加薪2%。 在代表星巴克美国550多家已成立工会的门店的490名咖啡师中，81%的人拒绝了这一提议，因为该提议并未对医保等经济福利做出任何调整，也没有立即加薪的举措。 “星巴克目前的提议不足以敲定一项协议。”工会表示。 星巴克在一份声明中称，工会向其代表们提交了一个不完整的单店合同框架以供投票，并补充说，工会的这一行为导致双方达成共同协议的进程被拖延。（环球市场播报）
[datetime]: 2025-04-26 12:11:18,[content]: 【星巴克工会拒绝公司每年至少加薪2%的提议：福利不明确】工会组织Workers United表示，参与合同谈判的星巴克工会代表投票否决了这家咖啡连锁店的最新提议，该提议保证每年至少加薪2%。 在代表星巴克美国550多家已成立工会的门店的490名咖啡师中，81%的人拒绝了这一提议，因为该提议并未对医保等经济福利做出任何调整，也没有立即加薪的举措。 “星巴克目前的提议不足以敲定一项协议。”工会表示。 星巴克在一份声明中称，工会向其代表们提交了一个不完整的单店合同框架以供投票，并补充说，工会的这一行为导致双方达成共同协议的进程被拖延。（环球市场播报）
