stock_code,trade_date,close,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci,turnover_rate,turnover_rate_f,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,stock_name,area,industry,list_date
300623.SZ,20241230,36.15,0.008,-0.093,0.203,59.171,58.539,60.435,43.704,47.085,50.59,39.494,36.78,34.067,-8.889,2.9537,4.9707,0.55,73.5038,4.9659,11.1991,0.1417,83207.9919,71198.776,42308.4179,3007968.9072,2573835.7524,捷捷微电,江苏,半导体,20170314
688029.SH,20241230,69.18,-0.5,-0.447,-0.107,41.649,40.254,44.441,34.383,41.037,47.182,72.62,70.627,68.634,-81.496,0.9503,1.7863,1.02,23.6067,3.5725,4.8515,,18784.7422,18784.7422,9993.5618,1299528.4654,1299528.4654,南微医学,江苏,医疗保健,20190722
600173.SH,20241230,4.02,-0.098,-0.028,-0.14,11.689,13.915,7.239,24.773,33.046,42.304,4.914,4.417,3.921,-98.988,0.9891,2.4696,0.76,81.3974,0.7364,0.9861,1.4728,70050.6244,70041.6244,28053.1999,281603.5101,281567.3301,卧龙地产,浙江,全国地产,19990415
603499.SH,20241230,26.81,-1.103,0.231,-2.668,17.236,22.933,5.842,24.379,32.76,43.18,41.082,33.712,26.343,-109.459,2.1634,5.3378,0.61,177.3879,7.3373,7.3627,0.1119,21613.885,21613.885,8760.305,579468.2569,579468.2569,翔港科技,上海,广告包装,20171016
300745.SZ,20241230,16.48,-0.401,-0.247,-0.308,28.81,23.566,39.299,37.3,38.898,45.065,19.53,17.65,15.769,-76.497,1.6022,1.8063,0.75,,1.1758,1.6956,,16761.4391,14129.7715,12533.0784,276228.5164,232858.6343,欣锐科技,深圳,汽车配件,20180523
002062.SZ,20241230,5.2,0.104,0.084,0.04,64.409,43.601,106.024,80.23,69.333,64.348,5.158,4.757,4.356,138.433,6.8073,12.9582,3.22,20.0486,1.307,1.0419,1.6942,123727.0889,98992.3287,52003.6372,643380.8623,514760.1092,宏润建设,浙江,建筑工程,20060816
301507.SZ,20241230,13.07,-0.118,-0.029,-0.178,19.163,21.113,15.264,38.746,42.55,47.046,14.351,13.619,12.888,-87.831,2.9419,2.9419,0.72,51.6992,3.0587,7.5692,0.7651,35655.433,11053.1858,11053.1858,466016.5093,144465.1384,民生健康,浙江,化学制药,20230905
300725.SZ,20241230,34.8,-0.337,-0.156,-0.362,18.101,18.863,16.579,32.396,41.099,47.575,38.354,36.17,33.985,-113.62,1.7752,1.9584,0.73,39.6935,2.504,4.4508,0.8868,19972.8609,16840.4095,15264.8521,695055.5593,586046.2506,药石科技,江苏,化学制药,20171110
601588.SH,20241230,1.91,-0.027,0.009,-0.074,10.48,13.289,4.861,26.573,37.863,46.689,2.373,2.105,1.837,-89.364,1.2979,2.5252,0.9,,0.5549,0.6436,1.0471,336702.0,266000.0,136718.8269,643100.82,508060.0,北辰实业,北京,区域地产,20061016
603185.SH,20241230,17.14,-0.764,-0.684,-0.159,24.212,16.897,38.841,35.426,35.977,43.635,20.064,18.136,16.207,-75.33,1.8086,3.291,1.16,,0.8986,1.528,0.1165,67902.2202,67902.2202,37317.0982,1163844.0542,1163844.0542,弘元绿能,江苏,电气设备,20181228
300633.SZ,20241230,30.05,-1.176,-0.935,-0.483,10.566,13.335,5.027,15.708,26.611,38.846,35.992,32.848,29.705,-123.398,0.8031,1.4403,1.23,53.553,4.1675,6.341,1.0598,43271.2405,43271.2405,24126.2005,1300300.777,1300300.777,开立医疗,深圳,医疗保健,20170406
000513.SZ,20241230,38.18,0.086,0.056,0.061,66.517,52.94,93.671,62.401,55.889,53.006,38.434,37.828,37.222,101.85,0.7397,1.2488,0.92,17.1842,2.5597,2.9346,3.6109,91134.573,58433.3053,34612.5429,3479517.9971,2230983.5964,丽珠集团,广东,化学制药,19931028
688105.SH,20241230,22.66,-0.414,-0.253,-0.32,18.18,20.364,13.81,14.824,32.389,44.52,25.693,24.005,22.317,-102.672,0.1937,0.5964,0.82,386.2896,2.3027,6.4967,,40213.3843,40144.4743,13035.7292,911235.2882,909673.7876,诺唯赞,江苏,生物制药,20211115
603610.SH,20241230,13.09,0.683,0.546,0.275,61.409,57.927,68.373,68.163,66.301,64.655,13.182,11.306,9.43,111.758,9.2054,21.9601,1.16,27.5741,1.534,1.5967,7.5223,35848.9251,35848.9251,15027.4855,469262.4296,469262.4296,麒盛科技,浙江,家居用品,20191029
301321.SZ,20241230,15.02,-0.542,-0.419,-0.245,25.468,29.812,16.778,32.587,37.642,44.386,17.78,16.272,14.764,-102.578,1.4929,2.3524,0.78,,2.4798,1.2488,,18643.5,14758.6614,9366.3577,280025.37,221675.0942,翰博高新,安徽,元器件,20220818
688557.SH,20241230,19.6,-0.251,-0.059,-0.384,25.02,19.678,35.703,38.663,41.949,48.044,22.517,20.652,18.787,-71.077,0.5621,1.0255,0.67,18.9238,1.7855,1.8144,,10220.798,10220.798,5602.7873,200327.6408,200327.6408,兰剑智能,山东,专用机械,20201202
300446.SZ,20241230,17.29,-0.16,-0.112,-0.096,41.861,32.126,61.332,49.403,47.872,50.003,18.794,17.573,16.352,-37.189,3.7187,3.7187,0.99,20.4012,2.9297,2.0486,0.5784,84541.0111,31153.6417,31153.6417,1461714.0819,538646.465,航天智造,河北,汽车配件,20150423
603871.SH,20241230,19.43,-0.215,-0.205,-0.02,42.462,48.372,30.641,38.123,42.514,46.328,20.816,19.834,18.853,-21.93,0.4995,1.2322,0.67,13.8317,3.5677,2.2499,3.3715,97714.9042,97714.9042,39609.4765,1898600.5886,1898600.5886,嘉友国际,北京,仓储物流,20180206
603991.SH,20241230,54.74,-3.81,-3.671,-0.277,40.781,21.758,78.829,60.889,48.105,47.006,64.96,55.304,45.648,-7.13,17.9988,24.6559,3.1,,16.9109,14.5796,,7453.4998,7453.4998,5441.0548,408004.5791,408004.5791,至正股份,深圳,塑料,20170308
300949.SZ,20241230,45.0,2.611,2.649,-0.075,53.759,55.15,50.977,58.174,59.281,59.428,49.74,41.316,32.891,40.669,5.8805,8.2623,0.85,,3.1151,6.0614,,6050.65,6000.0,4270.3687,272279.25,270000.0,奥雅股份,深圳,建筑工程,20210226
300501.SZ,20241230,13.67,-0.248,-0.143,-0.21,26.978,22.735,35.464,39.071,40.781,46.684,15.443,14.339,13.235,-74.96,1.2744,1.6418,0.78,29.6138,1.6393,2.4288,2.9732,19353.7806,12520.1176,9718.3699,264566.1808,171150.0076,海顺新材,上海,广告包装,20160204
300572.SZ,20241230,18.34,-0.285,-0.096,-0.378,44.612,32.612,68.611,41.634,43.664,49.295,22.388,19.524,16.66,-32.584,1.885,2.0493,0.68,,2.1239,10.57,0.1079,22898.8812,18359.6561,16887.4139,419965.4812,336716.0929,安车检测,深圳,电器仪表,20161206
300162.SZ,20241230,7.83,-0.112,0.054,-0.332,16.108,18.379,11.568,30.326,39.63,46.902,9.715,8.628,7.541,-100.654,4.2994,5.4152,0.61,,3.4974,2.6684,,41951.003,34075.878,27054.853,328476.3535,266814.1247,雷曼光电,深圳,元器件,20110113
300280.SZ,20241230,21.9,1.153,1.255,-0.204,38.068,45.795,22.614,55.518,56.655,56.662,24.946,20.206,15.466,11.068,20.2509,24.9032,1.08,,2.8998,3.289,,16206.5744,16047.4169,13049.5169,354923.9794,351438.4301,紫天科技,福建,广告包装,20111229
601595.SH,20241230,25.72,-0.567,-0.316,-0.501,23.757,21.259,28.752,40.396,42.855,47.78,29.077,26.915,24.753,-73.633,1.0706,3.4778,0.63,104.9258,6.9381,15.8879,0.8165,44820.0,44820.0,13797.1683,1152770.4,1152770.4,上海电影,上海,影视音像,20160817
301103.SZ,20241230,20.57,-0.579,-0.281,-0.597,8.506,11.758,2.001,18.612,30.484,41.322,25.047,22.641,20.235,-106.844,1.3603,1.5603,1.03,,1.6804,2.9392,2.8907,15802.6471,8309.0131,7243.8464,325060.4508,170916.3995,何氏眼科,辽宁,医疗保健,20220322
603358.SH,20241230,33.18,0.09,0.343,-0.507,35.468,30.616,45.173,54.852,52.307,53.529,35.232,33.414,31.595,-42.768,1.0899,2.983,1.57,55.4525,4.3743,2.7596,1.0549,43904.0,43904.0,16040.5268,1456734.72,1456734.72,华达科技,江苏,汽车配件,20170125
688287.SH,20241230,5.48,-0.216,-0.119,-0.193,35.173,26.543,52.434,37.206,38.628,45.037,7.05,6.073,5.096,-68.948,0.6106,1.2385,0.37,,2.2216,17.4265,,37051.56,37051.56,18267.2898,203042.5488,203042.5488,ST观典,北京,航空,20220525
601398.SH,20241230,6.95,0.189,0.145,0.087,82.731,82.169,83.855,82.999,77.356,69.46,6.879,6.403,5.927,117.393,0.1789,1.4351,0.93,6.7986,0.6925,3.0273,4.4086,35640625.7089,26961221.2539,3360882.3221,247702348.6769,187380487.7146,工商银行,北京,银行,20061027
300638.SZ,20241230,21.33,1.187,0.999,0.376,75.377,74.691,76.749,59.584,63.213,62.633,22.995,19.446,15.898,58.224,6.2651,7.6441,0.6,21.4776,4.6381,2.0365,1.7758,76556.4863,53238.3586,43634.2119,1632949.8528,1135574.1889,广和通,深圳,通信设备,20170413
002366.SZ,20241230,4.79,-0.069,0.01,-0.157,22.14,17.194,32.031,39.948,42.674,48.639,5.725,5.159,4.593,-80.889,3.4796,3.8192,0.82,53.4278,2.1498,11.1968,,208093.764,125646.439,114472.2056,996769.1296,601846.4428,融发核电,四川,专用机械,20100312
301262.SZ,20241230,25.91,-0.331,0.021,-0.703,16.326,20.474,8.031,26.902,37.635,46.128,29.638,27.401,25.164,-112.087,1.6284,4.7671,0.96,23.8059,2.9695,10.5822,1.1115,41700.0,12207.5392,4170.0,1080447.0,316297.3407,海看股份,山东,影视音像,20230620
300022.SZ,20241230,5.36,0.104,0.135,-0.062,43.023,36.606,55.856,53.409,53.885,55.51,5.876,5.3,4.725,1.279,5.3143,7.3902,1.16,,4.9325,0.969,,49424.038,49422.943,35540.4322,264912.8437,264906.9745,吉峰科技,四川,农用机械,20091030
002439.SZ,20241230,16.62,-0.177,-0.152,-0.049,34.351,32.568,37.917,46.88,45.919,48.579,17.562,16.876,16.19,-47.652,1.7006,1.8723,1.09,69.9023,1.7657,4.7098,1.6245,121836.9376,72417.2671,65775.79,2024929.9029,1203574.9792,启明星辰,北京,软件服务,20100623
603087.SH,20241230,45.01,-0.369,-0.328,-0.081,33.699,26.672,47.753,47.841,45.976,47.681,46.733,45.502,44.271,-39.506,0.6417,1.0801,0.85,46.5758,2.4805,9.179,1.5546,60106.529,55391.7808,32907.5468,2705394.8703,2493184.0538,甘李药业,北京,生物制药,20200629
603339.SH,20241230,13.2,-0.144,-0.161,0.033,52.469,30.713,95.98,73.62,61.706,57.083,13.515,12.442,11.368,82.683,6.8236,12.2209,4.62,15.1391,1.6217,2.0123,1.9447,30944.1175,30944.1175,17277.9339,408462.351,408462.351,四方科技,江苏,专用机械,20160519
603201.SH,20241230,17.26,-0.238,-0.117,-0.241,22.359,24.479,18.117,38.339,41.684,47.267,19.366,18.09,16.815,-77.768,2.9483,3.8917,1.3,11.5608,1.7758,0.9613,3.0868,15836.5435,6475.9335,4906.0575,273338.7408,111774.6122,常润股份,江苏,汽车配件,20220729
301079.SZ,20241230,15.76,-0.492,-0.247,-0.489,19.028,15.774,25.537,33.343,37.051,44.206,19.803,17.382,14.962,-80.772,3.604,4.3389,0.78,335.8085,3.5185,5.2437,0.064,10933.8159,6893.1824,5725.6699,172316.9386,108636.5546,邵阳液压,湖南,机械基件,20211019
600727.SH,20241230,7.55,-0.103,-0.062,-0.083,35.517,23.859,58.834,44.462,43.751,47.99,8.303,7.753,7.204,-49.263,1.2556,1.9093,0.78,13.3349,1.257,0.7473,1.3245,52858.3135,52852.3135,34755.3948,399080.2669,399034.9669,鲁北化工,山东,化工原料,19960702
603365.SH,20241230,15.96,0.301,0.441,-0.28,32.998,35.334,28.326,38.603,47.179,52.39,17.667,16.41,15.154,-78.052,1.0761,2.9462,0.84,12.453,1.4652,1.0128,5.6391,26273.35,25806.35,9425.966,419322.666,411869.346,水星家纺,上海,纺织,20171120
300130.SZ,20241230,23.14,-0.437,-0.323,-0.226,20.647,27.4,7.14,35.299,40.686,46.596,25.77,24.248,22.727,-91.588,2.4383,2.8312,0.78,26.2369,3.0793,3.9136,3.7222,56686.8623,43381.4933,37361.3491,1311733.9936,1003847.755,新国都,深圳,IT设备,20101019
836270.BJ,20241230,10.43,-0.778,-0.478,-0.601,5.342,7.729,0.569,16.304,30.091,41.949,15.873,12.754,9.636,-109.192,0.9206,2.7556,1.05,18.6097,2.6542,4.7782,,10461.6,8110.4317,2709.5947,109114.488,84591.8026,天铭科技,浙江,汽车配件,20220902
300338.SZ,20241230,5.04,0.097,0.156,-0.119,38.428,35.041,45.201,49.434,51.374,55.003,5.601,5.068,4.535,-81.076,3.8335,4.2854,0.8,,,10.7576,,40262.4692,34454.6978,30821.0926,202922.8448,173651.6769,*ST开元,湖南,文教休闲,20120726
603811.SH,20241230,7.84,-0.054,-0.005,-0.097,27.444,24.972,32.387,38.582,42.282,48.399,8.543,8.112,7.681,-69.88,1.0411,1.4245,0.72,15.4561,2.0628,3.5023,2.551,32730.432,32730.432,23921.0468,256606.5869,256606.5869,诚意药业,浙江,化学制药,20170315
600103.SH,20241230,2.78,0.069,0.07,-0.002,53.613,39.158,82.523,72.882,66.14,63.749,2.741,2.517,2.293,125.967,18.8496,26.6455,5.15,53.1715,1.5938,2.2595,0.6004,225325.5047,221232.9047,156504.7841,626404.9031,615027.4751,青山纸业,福建,造纸,19970703
600503.SH,20241230,2.65,0.008,0.114,-0.212,11.724,13.564,8.044,28.455,41.086,48.387,3.885,3.128,2.37,-89.865,3.6898,4.2282,0.68,95.0506,1.1663,14.7546,0.1509,160229.0,160229.0,139827.0,424606.85,424606.85,华丽家族,上海,区域地产,20020709
603508.SH,20241230,25.04,0.386,0.173,0.425,84.038,74.483,103.146,74.455,64.858,59.282,24.962,23.456,21.951,135.079,2.2312,5.2047,1.1,19.2801,2.1224,7.0482,4.0198,38127.4377,38127.4377,16344.9096,954711.04,954711.04,思维列控,河南,IT设备,20151224
688389.SH,20241230,15.24,-0.244,-0.22,-0.047,36.926,28.146,54.485,42.201,42.03,45.864,16.558,15.668,14.777,-32.214,0.8234,1.2731,0.92,17.1338,3.3489,5.4714,,42843.8434,42843.8434,27710.6741,652940.1734,652940.1734,普门科技,深圳,医疗保健,20191105
300201.SZ,20241230,5.39,-0.042,0.09,-0.263,12.735,14.419,9.369,32.842,41.225,49.287,6.749,5.96,5.17,-90.493,1.6867,2.2862,0.57,26.4028,4.2788,4.2501,0.636,100904.3607,100450.7422,74110.3317,543874.5042,541429.5005,海伦哲,江苏,工程机械,20110407
301550.SZ,20241230,75.39,4.57,4.955,-0.77,60.332,58.672,63.653,45.987,55.049,58.155,85.558,74.09,62.621,-13.696,5.7105,7.0153,0.66,46.1266,4.9153,10.8414,0.6632,11000.0,5493.17,4471.48,829290.0,414130.0863,斯菱股份,浙江,汽车配件,20230915
300466.SZ,20241230,7.74,-0.262,-0.11,-0.304,18.477,18.389,18.654,24.489,33.764,43.556,10.065,8.756,7.448,-105.322,2.2766,3.7119,0.67,,5.1973,5.9222,,53552.9908,41998.6257,25758.899,414500.1488,325069.3629,赛摩智能,江苏,电器仪表,20150528
603319.SH,20241230,20.43,-0.68,0.182,-1.725,11.361,24.084,-14.085,19.037,30.299,41.306,29.908,25.411,20.914,-148.307,4.8324,6.5243,0.78,21.6008,2.2542,2.2171,1.8507,22009.0448,21955.7396,16262.1624,449644.7853,448555.76,美湖股份,湖南,汽车配件,20161130
300189.SZ,20241230,3.87,-0.034,0.09,-0.247,23.321,20.623,28.717,44.274,45.662,50.307,5.168,4.307,3.446,-55.175,15.4723,16.3177,1.03,,5.2878,22.89,,102400.0,88624.7574,84033.1049,396288.0,342977.8111,神农种业,海南,种植业,20110316
301387.SZ,20241230,35.29,0.062,0.031,0.062,54.647,39.808,84.325,65.905,57.968,54.729,36.055,33.973,31.891,44.559,10.7599,10.7599,1.93,108.2174,2.3287,3.2887,1.012,10649.1,4240.0792,4240.0792,375806.739,149632.395,光大同创,深圳,元器件,20230418
300885.SZ,20241230,11.45,-0.039,0.026,-0.128,52.089,40.66,74.946,49.3,48.465,51.665,12.672,11.712,10.752,-21.516,2.1151,3.9325,0.74,44.9512,3.3922,10.1684,0.6987,25080.0,16966.5975,9125.6975,287166.0,194267.5414,海昌新材,江苏,机械基件,20200910
300599.SZ,20241230,7.7,-0.122,-0.111,-0.022,52.027,33.936,88.209,64.867,56.254,54.013,8.404,7.431,6.458,83.558,11.7114,16.4379,2.99,,1.3229,2.5514,2.5496,35813.1567,21219.0567,15117.7267,275761.3066,163386.7366,雄塑科技,广东,塑料,20170123
300440.SZ,20241230,8.35,0.127,0.18,-0.107,59.484,46.224,86.004,53.069,53.46,56.032,9.025,8.442,7.86,4.297,3.2144,5.3145,0.73,36.2279,2.3554,3.3643,0.5229,44391.86,44222.3565,26747.6342,370672.031,369256.6768,运达科技,四川,软件服务,20150423
688798.SH,20241230,73.0,0.387,1.423,-2.072,20.432,25.637,10.021,37.753,45.139,51.13,83.234,76.713,70.192,-86.544,1.7164,2.2525,0.51,50.4062,4.3998,5.4542,,23266.9339,13528.3943,10308.5336,1698486.1747,987572.7839,艾为电子,上海,半导体,20210816
301019.SZ,20241230,17.79,0.563,0.45,0.226,61.097,64.011,55.27,60.28,60.468,59.432,18.16,16.714,15.267,138.976,3.9085,5.3082,0.8,30.3714,2.6938,6.2574,1.606,16799.9995,11106.8091,8177.9529,298871.9911,197590.1339,宁波色母,浙江,塑料,20210628
002370.SZ,20241230,3.08,-0.111,-0.013,-0.196,9.084,12.017,3.217,23.485,33.017,42.281,4.308,3.622,2.937,-95.819,4.2341,4.998,0.75,,2.8925,5.1584,,71283.8356,71283.8356,60389.279,219554.2136,219554.2136,亚太药业,浙江,化学制药,20100316
603880.SH,20241230,4.43,-0.067,0.044,-0.223,22.975,22.655,23.615,34.96,40.268,46.624,5.765,4.956,4.147,-80.759,1.8002,3.4124,0.72,,2.8042,2.1894,,28904.2,28904.2,15248.1585,128045.606,128045.606,南卫股份,江苏,医疗保健,20170807
603967.SH,20241230,9.98,-0.069,-0.019,-0.1,32.704,26.343,45.427,45.922,45.733,49.369,10.717,10.186,9.656,-30.432,0.9639,2.8378,1.08,13.5705,1.5043,0.3099,5.01,34666.671,34666.671,11774.591,345973.3766,345973.3766,中创物流,山东,仓储物流,20190429
300180.SZ,20241230,6.66,-0.303,-0.207,-0.193,9.811,11.983,5.467,23.705,33.373,43.127,8.381,7.4,6.419,-99.867,2.394,2.9014,0.62,,2.507,2.4679,,176106.0155,148559.1192,122578.3385,1172866.0632,989403.7339,华峰超纤,上海,化纤,20110222
301057.SZ,20241230,12.8,-0.369,-0.188,-0.363,13.816,17.243,6.961,25.237,31.234,40.973,15.493,13.985,12.477,-95.38,2.3191,3.7241,0.82,42.0878,1.9996,1.7892,2.3221,11739.0438,8230.3463,5125.3938,150259.7606,105348.4326,汇隆新材,浙江,化纤,20210909
002708.SZ,20241230,11.07,0.285,0.26,0.051,73.407,62.081,96.058,62.868,59.375,57.875,11.542,10.7,9.857,112.109,8.4468,12.4226,0.82,,3.559,2.7912,,56209.7967,49466.5362,33634.8305,622242.4495,547594.5557,光洋股份,江苏,汽车配件,20140121
688343.SH,20241230,50.33,3.919,4.166,-0.493,48.726,58.512,29.154,45.915,54.374,58.292,59.383,48.362,37.341,-11.027,6.69,7.735,0.53,,4.4449,23.4651,,35513.372,25786.0413,22302.3188,1787388.0128,1297811.4586,云天励飞-U,深圳,软件服务,20230404
301037.SZ,20241230,10.16,-0.336,-0.142,-0.389,25.003,21.317,32.375,37.195,38.476,44.427,12.829,11.187,9.545,-72.416,5.0577,6.3782,0.8,,1.9803,0.6537,,13950.1778,4990.0028,3956.9369,141733.8064,50698.4284,保立佳,上海,染料涂料,20210730
603033.SH,20241230,13.11,-0.184,-0.189,0.009,42.807,26.35,75.721,68.177,55.404,51.787,13.583,12.79,11.997,32.941,1.2824,4.1051,2.83,303.8821,3.9062,2.8511,0.3807,103116.3554,101253.1018,31629.3187,1351855.4193,1327428.1646,三维股份,浙江,橡胶,20161207
